epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,293.053,0.79985,0.55748,1.0141,0.88255,0.89174,0.94258,0.71539,0.90163,0.60852,1.09837,0.000530659,0.000530659,0.000530659
129,294.552,0.80214,0.56149,1.01759,0.86549,0.85419,0.92636,0.68771,0.95565,0.65378,1.12715,0.000523586,0.000523586,0.000523586
130,296.277,0.81221,0.55224,1.0236,0.89436,0.89135,0.9438,0.72484,0.88877,0.58802,1.09783,0.000516512,0.000516512,0.000516512
131,297.795,0.82948,0.56738,1.01674,0.91999,0.90705,0.95531,0.72738,0.8688,0.5552,1.08521,0.000509438,0.000509438,0.000509438
132,299.325,0.8153,0.56512,1.03208,0.92352,0.93012,0.96044,0.7355,0.86465,0.56276,1.08676,0.000502365,0.000502365,0.000502365
133,300.861,0.83225,0.588,1.02879,0.8961,0.93113,0.94799,0.72685,0.86627,0.56999,1.07981,0.000495291,0.000495291,0.000495291
134,302.41,0.82694,0.56649,1.01162,0.91282,0.92161,0.95077,0.7314,0.85297,0.57136,1.08113,0.000488218,0.000488218,0.000488218
135,303.908,0.79698,0.54472,1.01441,0.91152,0.90954,0.95839,0.73415,0.8618,0.59199,1.07425,0.000481144,0.000481144,0.000481144
136,305.483,0.82041,0.57401,1.00232,0.90969,0.92759,0.947,0.72644,0.89622,0.58172,1.08519,0.000474071,0.000474071,0.000474071
137,307.198,0.78798,0.53259,1.01454,0.87328,0.9312,0.94715,0.72607,0.89714,0.59257,1.08994,0.000466997,0.000466997,0.000466997
138,308.694,0.8132,0.56775,1.02226,0.88226,0.91174,0.95012,0.72862,0.89738,0.58505,1.09057,0.000459924,0.000459924,0.000459924
139,310.198,0.77851,0.54008,1.00933,0.89269,0.95538,0.95848,0.74453,0.87312,0.54839,1.07825,0.00045285,0.00045285,0.00045285
140,311.972,0.79073,0.54621,1.02477,0.91881,0.94379,0.96427,0.7394,0.86996,0.53272,1.07872,0.000445777,0.000445777,0.000445777
141,313.49,0.82056,0.56801,1.03023,0.93399,0.93612,0.97244,0.7444,0.86654,0.51255,1.0841,0.000438703,0.000438703,0.000438703
142,315.14,0.78659,0.54634,1.01783,0.91667,0.9364,0.96545,0.74939,0.86417,0.51987,1.08738,0.000431629,0.000431629,0.000431629
143,316.823,0.75888,0.52934,0.99641,0.91491,0.95,0.96481,0.73807,0.8593,0.52474,1.08091,0.000424556,0.000424556,0.000424556
144,318.531,0.77356,0.52186,0.99557,0.89558,0.95509,0.96571,0.74612,0.84831,0.52852,1.07098,0.000417482,0.000417482,0.000417482
145,320.067,0.76844,0.55458,0.99711,0.91377,0.93912,0.95972,0.74832,0.85558,0.51849,1.07694,0.000410409,0.000410409,0.000410409
146,321.818,0.75393,0.53281,0.99475,0.92111,0.92761,0.9636,0.74664,0.84971,0.52556,1.0691,0.000403335,0.000403335,0.000403335
147,323.346,0.78137,0.55019,1.01835,0.93092,0.92183,0.96143,0.74844,0.85814,0.53252,1.0811,0.000396262,0.000396262,0.000396262
148,324.834,0.75189,0.53014,0.99005,0.90399,0.91087,0.95444,0.73778,0.88167,0.54133,1.09694,0.000389188,0.000389188,0.000389188
149,326.394,0.75224,0.52092,1.0024,0.90888,0.89256,0.95574,0.74148,0.85382,0.54686,1.07922,0.000382115,0.000382115,0.000382115
150,327.918,0.7411,0.51767,0.98821,0.90653,0.89297,0.95242,0.73423,0.85865,0.54342,1.08446,0.000375041,0.000375041,0.000375041
151,329.653,0.76606,0.52736,0.99096,0.90384,0.92795,0.9522,0.74714,0.83499,0.53001,1.06932,0.000367967,0.000367967,0.000367967
152,331.291,0.74885,0.52393,1.00333,0.90022,0.90657,0.95295,0.74171,0.83916,0.54172,1.07028,0.000360894,0.000360894,0.000360894
153,332.841,0.76762,0.52154,1.00121,0.92416,0.92883,0.96123,0.7577,0.82734,0.52071,1.06589,0.00035382,0.00035382,0.00035382
154,334.373,0.71848,0.50476,0.9947,0.9272,0.92675,0.9572,0.74916,0.84364,0.51583,1.07107,0.000346747,0.000346747,0.000346747
155,335.97,0.72328,0.51127,0.98135,0.91888,0.93864,0.95211,0.74132,0.85905,0.52668,1.08323,0.000339673,0.000339673,0.000339673
156,337.52,0.75043,0.52883,0.9867,0.92508,0.93209,0.95681,0.74374,0.85965,0.52363,1.08982,0.0003326,0.0003326,0.0003326
157,339.067,0.75281,0.52481,1.00591,0.91782,0.94321,0.96513,0.74339,0.87573,0.52334,1.09383,0.000325526,0.000325526,0.000325526
158,340.876,0.7196,0.499,0.98127,0.90682,0.95645,0.96569,0.75225,0.84859,0.49464,1.07765,0.000318453,0.000318453,0.000318453
159,342.393,0.7566,0.52289,0.99278,0.90552,0.96254,0.96906,0.75982,0.8389,0.49618,1.06993,0.000311379,0.000311379,0.000311379
160,343.933,0.72768,0.5118,0.98373,0.89819,0.95857,0.96932,0.75895,0.83245,0.50601,1.06051,0.000304306,0.000304306,0.000304306
161,345.478,0.73755,0.51688,0.98612,0.90778,0.93655,0.96456,0.76587,0.83334,0.51745,1.06261,0.000297232,0.000297232,0.000297232
